# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu
loc_rowid,pl_name,hostname,default_flag,sy_snum,sy_pnum,pl_orbper,pl_orbsmax,pl_rade,pl_masse,pl_dens,pl_orbeccen,pl_insol,pl_eqt
1,11 Com b,11 Com,1,2,1,323.21000000000,1.1780000000,,,,0.238000,,
2,11 Com b,11 Com,0,2,1,326.03000000000,1.2900000000,,,,0.231000,,
3,11 Com b,11 Com,0,2,1,,1.2100000000,,,,,,
4,11 UMi b,11 UMi,0,1,1,516.22000000000,1.5400000000,,,,0.080000,,
5,11 UMi b,11 UMi,1,1,1,516.21997000000,1.5300000000,,,,0.080000,,
6,11 UMi b,11 UMi,0,1,1,,1.5100000000,,,,,,
7,14 And b,14 And,0,1,1,,0.6800000000,,,,,,
8,14 And b,14 And,1,1,1,186.76000000000,0.7750000000,,,,0.000000,,
9,14 And b,14 And,0,1,1,185.84000000000,0.8300000000,,,,0.000000,,
10,14 Her b,14 Her,1,1,2,1765.03890000000,2.7740000000,,2559.47216157,,0.373000,,
11,14 Her b,14 Her,0,1,2,,2.7300000000,,,,0.357000,,
12,14 Her b,14 Her,0,1,2,1724.00000000000,2.8200000000,,,,0.370000,,
13,14 Her b,14 Her,0,1,2,1796.40000000000,2.8000000000,,,,0.338000,,
14,14 Her b,14 Her,0,1,2,1766.00000000000,2.8640000000,,,,0.359000,,
15,14 Her b,14 Her,0,1,2,1773.40002000000,2.9300000000,,,,0.370000,,
16,14 Her b,14 Her,0,1,2,1773.40000000000,2.7700000000,,,,0.369000,,
17,14 Her b,14 Her,0,1,2,1766.41000000000,2.8300000000,,,,0.367400,,
18,16 Cyg B b,16 Cyg B,1,3,1,798.50000000000,1.6600000000,,,,0.680000,,
19,16 Cyg B b,16 Cyg B,0,3,1,798.50000000000,1.6810000000,,,,0.681000,,
20,16 Cyg B b,16 Cyg B,0,3,1,799.50000000000,1.6800000000,,,,0.689000,,
21,16 Cyg B b,16 Cyg B,0,3,1,800.80000000000,1.6000000000,,,,0.634000,,
22,16 Cyg B b,16 Cyg B,0,3,1,799.45000000000,1.6760000000,,,,0.683200,,
23,16 Cyg B b,16 Cyg B,0,3,1,799.50000000000,1.6800000000,,,,0.689000,,
24,17 Sco b,17 Sco,1,1,1,578.38000000000,1.4500000000,,,,0.060000,,
25,18 Del b,18 Del,0,2,1,,2.5400000000,,,,,,
26,18 Del b,18 Del,1,2,1,982.85000000000,2.4760000000,,,,0.024000,,
27,18 Del b,18 Del,0,2,1,993.30000000000,2.6000000000,,,,0.080000,,
28,1RXS J160929.1-210524 b,1RXS J160929.1-210524,0,1,1,,330.0000000000,,3000.00000000,,,,1800.00
29,1RXS J160929.1-210524 b,1RXS J160929.1-210524,0,1,1,,330.0000000000,,4000.00000000,,,,1700.00
30,1RXS J160929.1-210524 b,1RXS J160929.1-210524,0,1,1,,330.0000000000,18.64700000,2543.00000000,,,,1800.00
31,1RXS J160929.1-210524 b,1RXS J160929.1-210524,1,1,1,,330.0000000000,,3000.00000000,,,,1700.00
32,24 Boo b,24 Boo,0,1,1,30.35060000000,0.1900000000,,,,0.042000,,
33,24 Boo b,24 Boo,1,1,1,30.33000000000,0.1940000000,,,,0.032000,,
34,24 Sex b,24 Sex,1,1,2,452.80000000000,1.3330000000,,,,0.090000,,
35,24 Sex c,24 Sex,1,1,2,883.00000000000,2.0800000000,,,,0.290000,,
36,2M0437 b,2MASS J04372171+2651014,1,1,1,,118.0000000000,,1271.31362800,,,,1450.00
37,2MASS J01033563-5515561 AB b,2MASS J01033563-5515561 A,1,2,1,,84.0000000000,,4131.79000000,,,,
38,2MASS J01225093-2439505 b,2MASS J01225093-2439505,0,1,1,,,11.20900000,,,,,1600.00
39,2MASS J01225093-2439505 b,2MASS J01225093-2439505,1,1,1,,52.0000000000,,7786.50000000,,,,
40,2MASS J02192210-3925225 b,2MASS J02192210-3925225,1,1,1,,156.0000000000,16.14096000,4417.83700000,,,,
41,2MASS J0249-0557 c,2MASS J0249-0557 A,1,2,1,,1950.0000000000,,3686.80952120,,,,
42,2MASS J03590986+2009361 b,2MASS J03590986+2009361,1,1,1,,572.0000000000,,5720.91132600,,,,2369.00
43,2MASS J04414489+2301513 b,2MASS J04414489+2301513,1,1,1,,15.0000000000,,2383.60000000,,,,
44,2MASS J11011926-7732383 b,2MASS J11011926-7732383,1,1,1,,266.0000000000,,8899.19539600,,,,2677.00
45,2MASS J11550485-7919108 b,2MASS J11550485-7919108,1,1,1,,587.0000000000,,6356.56814000,,,,2506.00
46,2MASS J12073346-3932539 b,2MASS J12073346-3932539,1,1,1,,55.0000000000,,1589.15000000,,,,1250.00
47,2MASS J12073346-3932539 b,2MASS J12073346-3932539,0,1,1,,46.0000000000,,1271.00000000,,,,1150.00
48,2MASS J19383260+4603591 b,2MASS J19383260+4603591,0,2,3,416.00000000000,0.9200000000,,603.87700000,,,,
49,2MASS J19383260+4603591 b,2MASS J19383260+4603591,1,2,3,406.00000000000,,,,,0.330000,,
50,2MASS J21252752-8138278 b,2MASS J21252752-8138278,1,1,1,,7493.0000000000,,3813.94088400,,,,1616.00
51,2MASS J22362452+4751425 b,2MASS J22362452+4751425,1,1,1,,230.0000000000,,3972.87500000,,,,
52,2MASS J22501512+2325342 b,2MASS J22501512+2325342,1,1,1,,518.0000000000,,9534.85221000,,,,1600.00
53,4 UMa b,4 UMa,1,1,1,270.27000000000,0.8770000000,,,,0.453000,,
54,4 UMa b,4 UMa,0,1,1,269.30000000000,0.8700000000,,,,0.432000,,
55,47 UMa b,47 UMa,0,1,3,1076.60000000000,2.0590000000,,,,0.016000,,
56,47 UMa b,47 UMa,1,1,3,1078.00000000000,2.1000000000,,,,0.032000,,
57,47 UMa b,47 UMa,0,1,3,1083.20000000000,2.1100000000,,,,0.049000,,
58,47 UMa b,47 UMa,0,1,3,1076.60000000000,2.1000000000,,,,0.012000,,
59,47 UMa b,47 UMa,0,1,3,1100.80000000000,2.1100000000,,,,0.097000,,
60,47 UMa c,47 UMa,1,1,3,2391.00000000000,3.6000000000,,,,0.098000,,
61,47 UMa c,47 UMa,0,1,3,7586.00000000000,7.7300000000,,,,0.005000,,
62,47 UMa c,47 UMa,0,1,3,2287.00000000000,3.4040000000,,,,0.179000,,
63,47 UMa d,47 UMa,1,1,3,14002.00000000000,11.6000000000,,,,0.160000,,
64,47 UMa d,47 UMa,0,1,3,19000.00000000000,13.8000000000,,,,0.380000,,
65,51 Eri b,51 Eri,0,3,1,,13.2000000000,,635.66000000,,,,700.00
66,51 Eri b,51 Eri,1,3,1,9100.00000000000,10.4000000000,,3464.32963630,,0.570000,,
67,51 Eri b,51 Eri,0,3,1,11688.00000000000,12.0000000000,,,,0.450000,,
68,51 Eri b,51 Eri,0,3,1,14965.00000000000,14.0000000000,,,,0.210000,,
69,51 Peg b,51 Peg,0,1,1,4.23079690000,0.0523500000,,,,0.004200,,
70,51 Peg b,51 Peg,0,1,1,4.23077000000,0.0520000000,,,,0.000000,,
71,51 Peg b,51 Peg,1,1,1,4.23078500000,0.0527000000,,,,0.013000,,
72,51 Peg b,51 Peg,0,1,1,4.22930000000,,,,,0.000000,,
73,51 Peg b,51 Peg,0,1,1,4.23100000000,0.0520000000,,146.20180000,,0.000000,,
74,55 Cnc B b,55 Cnc B,1,2,7,6.79940000000,0.0440000000,,,,0.000000,,
75,55 Cnc B c,55 Cnc B,1,2,7,33.74700000000,0.1300000000,,,,0.000000,,
76,55 Cnc b,55 Cnc,0,2,7,14.64700000000,0.1150000000,,,,0.030000,,
77,55 Cnc b,55 Cnc,0,2,7,14.46531400000,0.1133900000,,266.96600000,,0.002300,,
78,55 Cnc b,55 Cnc,0,2,7,14.65300000000,0.1150000000,,,,0.020000,,
79,55 Cnc b,55 Cnc,0,2,7,14.65152000000,0.1152272500,,263.97850000,,0.003400,,
80,55 Cnc b,55 Cnc,0,2,7,14.65162000000,0.1150000000,,,,0.014000,,
81,55 Cnc b,55 Cnc,0,2,7,14.65100000000,0.1134000000,,,,0.004000,,
82,55 Cnc b,55 Cnc,0,2,7,14.65126000000,0.1138000000,,,,0.015900,,
83,55 Cnc b,55 Cnc,0,2,7,14.65171000000,0.1162000000,,,,0.004800,,
84,55 Cnc b,55 Cnc,0,2,7,14.65160000000,0.1134000000,,,,0.000000,,
85,55 Cnc b,55 Cnc,0,2,7,14.60000000000,0.1130000000,,254.25000000,,0.000000,,700.00
86,55 Cnc b,55 Cnc,1,2,7,14.65155200000,0.1180000000,,,,0.002900,,
87,55 Cnc b,55 Cnc,0,2,7,14.64800000000,0.1100000000,,,,0.051000,,
88,55 Cnc b,55 Cnc,0,2,7,14.67000000000,0.1150000000,,,,0.019700,,
89,55 Cnc c,55 Cnc,0,2,7,44.34460000000,0.2400000000,,,,0.086000,,
90,55 Cnc c,55 Cnc,0,2,7,44.37300000000,0.2373500000,,56.69850000,,0.072000,,
91,55 Cnc c,55 Cnc,0,2,7,44.38000000000,0.2370000000,,,,0.070000,,
92,55 Cnc c,55 Cnc,1,2,7,44.39360000000,0.2470000000,,,,0.088000,,
93,55 Cnc c,55 Cnc,0,2,7,44.41750000000,0.2413760000,,54.47380000,,0.020000,,
94,55 Cnc c,55 Cnc,0,2,7,44.39890000000,0.2373000000,,,,0.030000,,
95,55 Cnc c,55 Cnc,0,2,7,44.37870000000,0.2380000000,,,,0.053000,,
96,55 Cnc c,55 Cnc,0,2,7,43.93000000000,0.2400000000,,,,0.440000,,
97,55 Cnc c,55 Cnc,0,2,7,44.38270000000,0.2432000000,,,,0.048000,,
98,55 Cnc d,55 Cnc,0,2,7,4820.00000000000,5.5400000000,,,,0.139000,,
99,55 Cnc d,55 Cnc,0,2,7,4825.00000000000,5.5030000000,,1232.49300000,,0.019000,,
100,55 Cnc d,55 Cnc,0,2,7,4545.00000000000,5.2800000000,,,,0.240000,,
101,55 Cnc d,55 Cnc,0,2,7,5218.00000000000,5.7700000000,,,,0.025000,,
102,55 Cnc d,55 Cnc,0,2,7,5574.20000000000,5.9570000000,,,,0.130000,,
103,55 Cnc d,55 Cnc,0,2,7,5360.00000000000,5.9000000000,,,,0.160000,,
104,55 Cnc d,55 Cnc,0,2,7,4517.40000000000,5.2570000000,,,,0.327000,,
105,55 Cnc d,55 Cnc,0,2,7,4909.00000000000,5.4700000000,,,,0.020000,,
106,55 Cnc d,55 Cnc,0,2,7,4867.00000000000,5.4460000000,,1226.77000000,,0.026900,,
107,55 Cnc d,55 Cnc,0,2,7,5370.00000000000,5.8400000000,,,,0.063000,,
108,55 Cnc d,55 Cnc,1,2,7,4799.00000000000,5.6000000000,,,,0.091300,,
109,55 Cnc e,55 Cnc,0,2,7,0.73654370000,0.0154400000,2.08000000,7.81000000,4.780000,0.061000,,1958.00
110,55 Cnc e,55 Cnc,0,2,7,0.73655150000,0.0156909070,,8.13928000,,0.040000,,
111,55 Cnc e,55 Cnc,0,2,7,,0.0154400000,1.92000000,8.08000000,6.300000,,,
112,55 Cnc e,55 Cnc,0,2,7,,,,,,,,
113,55 Cnc e,55 Cnc,0,2,7,0.73700000000,,1.89700000,7.74000000,6.250000,,,
114,55 Cnc e,55 Cnc,0,2,7,0.73654000000,0.0158300000,2.00000000,8.63000000,5.900000,,,
115,55 Cnc e,55 Cnc,0,2,7,0.73654604000,,,,,,,
116,55 Cnc e,55 Cnc,0,2,7,0.73654450000,0.0158300000,,,,0.036000,,
117,55 Cnc e,55 Cnc,0,2,7,0.73654600000,0.0158300000,2.17300000,8.37000000,4.500000,0.000000,,
118,55 Cnc e,55 Cnc,0,2,7,0.73654170000,,,,,,,
119,55 Cnc e,55 Cnc,0,2,7,0.73654600000,0.0160000000,,,,0.010000,,
120,55 Cnc e,55 Cnc,0,2,7,0.73654780000,0.0154390000,,8.09479000,,0.028000,,
121,55 Cnc e,55 Cnc,0,2,7,2.79674000000,0.0377000000,,,,0.264000,,
122,55 Cnc e,55 Cnc,0,2,7,2.80800000000,0.0380000000,,,,0.174000,,
123,55 Cnc e,55 Cnc,0,2,7,0.73654625026,,2.02311213,,,,2657.8322,1831.27
124,55 Cnc e,55 Cnc,0,2,7,0.73653900000,0.0154400000,1.91000000,8.08000000,6.400000,,,
125,55 Cnc e,55 Cnc,0,2,7,0.73654740000,,1.94700000,8.59000000,6.421000,,,
126,55 Cnc e,55 Cnc,1,2,7,0.73654740000,0.0154400000,1.87500000,7.99000000,6.660000,0.050000,,
127,55 Cnc e,55 Cnc,0,2,7,0.73654625000,,,,,,,
128,55 Cnc e,55 Cnc,0,2,7,0.73654300000,,1.85600000,,,,,
129,55 Cnc f,55 Cnc,0,2,7,260.70000000000,0.7750000000,,,,0.000000,,
130,55 Cnc f,55 Cnc,0,2,7,262.00000000000,0.7880000000,,44.81200000,,0.305000,,
131,55 Cnc f,55 Cnc,0,2,7,261.20000000000,0.7700000000,,,,0.320000,,
132,55 Cnc f,55 Cnc,0,2,7,260.00000000000,0.7810000000,,,,0.200000,,
133,55 Cnc f,55 Cnc,0,2,7,260.91000000000,0.7733000000,,47.00510000,,0.080000,,
134,55 Cnc f,55 Cnc,0,2,7,260.98000000000,0.7920000000,,,,0.142000,,
135,55 Cnc f,55 Cnc,0,2,7,259.88000000000,0.7708000000,,,,0.080000,,
136,55 Cnc f,55 Cnc,1,2,7,260.58000000000,0.8020000000,,,,0.063000,,
137,6 Lyn b,6 Lyn,0,1,1,899.00000000000,2.2000000000,,,,0.134000,,
138,6 Lyn b,6 Lyn,0,1,1,874.77400000000,2.1800000000,,,,0.125000,,
139,6 Lyn b,6 Lyn,0,1,1,934.30000000000,2.1100000000,,,,0.073000,,
140,6 Lyn b,6 Lyn,1,1,1,919.86000000000,2.0280000000,,,,0.042000,,
141,61 Vir b,61 Vir,1,1,3,4.21500000000,0.0502010000,,,,0.120000,,
142,61 Vir b,61 Vir,0,1,3,4.21487000000,0.0495600000,,,,0.099000,,
143,61 Vir c,61 Vir,1,1,3,38.02100000000,0.2175000000,,,,0.140000,,
144,61 Vir c,61 Vir,0,1,3,38.09570000000,0.2151000000,,,,0.068000,,
145,61 Vir d,61 Vir,1,1,3,123.01000000000,0.4760000000,,,,0.350000,,
146,7 CMa b,7 CMa,1,1,2,735.10000000000,1.7580000000,,,,0.060000,,
147,7 CMa b,7 CMa,0,1,2,796.00000000000,1.9300000000,,,,0.220000,,
148,7 CMa b,7 CMa,0,1,2,,1.8000000000,,,,,,
149,7 CMa b,7 CMa,0,1,2,763.00000000000,1.9000000000,,,,0.140000,,
150,7 CMa c,7 CMa,0,1,2,,2.2050000000,,,,,,
151,7 CMa c,7 CMa,1,1,2,996.00000000000,2.1530000000,,,,0.080000,,
152,70 Vir b,70 Vir,0,1,1,116.69260000000,0.4810000000,,,,0.399000,,
153,70 Vir b,70 Vir,0,1,1,116.69335000000,0.4765000000,,,,0.398900,,
154,70 Vir b,70 Vir,1,1,1,116.68800000000,0.4810000000,,,,0.398800,,
155,70 Vir b,70 Vir,0,1,1,116.68900000000,0.4560000000,,,,0.397000,,
156,70 Vir b,70 Vir,0,1,1,116.68840000000,0.4800000000,,,,0.400000,,
157,70 Vir b,70 Vir,0,1,1,116.68840000000,0.4840000000,,2380.45000000,,0.400700,,
158,75 Cet b,75 Cet,0,2,2,691.90000000000,2.1000000000,,,,0.117000,,
159,75 Cet b,75 Cet,1,2,2,696.62000000000,1.9120000000,,,,0.093000,,
160,75 Cet c,75 Cet,1,2,2,2051.62000000000,3.9290000000,,,,0.023000,,
161,8 UMi b,8 UMi,1,1,1,93.31000000000,0.4620000000,,,,0.062000,,
162,8 UMi b,8 UMi,0,1,1,93.40000000000,0.4900000000,,,,0.060000,,
163,8 UMi b,8 UMi,0,1,1,93.40000000000,0.4900000000,,,,0.060000,,
164,81 Cet b,81 Cet,0,1,1,,2.1700000000,,,,,,
165,81 Cet b,81 Cet,1,1,1,1005.57000000000,2.1040000000,,,,0.037000,,
166,81 Cet b,81 Cet,0,1,1,952.70000000000,2.5000000000,,,,0.206000,,
167,91 Aqr b,91 Aqr,1,3,1,181.40000000000,0.7000000000,,,,0.027000,,
168,AB Aur b,AB Aur,1,1,1,,93.9000000000,,2860.45566300,,0.400000,,
169,AB Pic b,AB Pic,1,1,1,,260.0000000000,,4290.50000000,,,,
170,AF Lep b,AF Lep,0,1,1,7520.00000000000,7.9900000000,,1664.46736746,,0.470000,,1400.00
171,AF Lep b,AF Lep,0,1,1,8030.00000000000,8.4000000000,,1017.05090240,,0.240000,,
172,AF Lep b,AF Lep,1,1,1,8905.00000000000,8.9960000000,,1147.36054927,,0.015000,,
173,AF Lep b,AF Lep,0,1,1,9060.00000000000,9.3000000000,,1366.66215010,,0.320000,,
174,AT2021ueyL b,AT2021ueyL,1,1,1,4168.69000000000,4.0100000000,,425.89006538,,,,
175,AU Mic b,AU Mic,0,1,4,8.46321000000,0.0660000000,4.20337500,,4.400000,0.100000,,
176,AU Mic b,AU Mic,0,1,4,8.46321000000,,,,,0.000000,,
177,AU Mic b,AU Mic,1,1,4,8.46308000000,0.0649000000,3.95677019,,,0.005770,21.2000,600.00
178,AU Mic b,AU Mic,0,1,4,8.46299910000,0.0645000000,,20.12000000,1.320000,0.186000,,
179,AU Mic b,AU Mic,0,1,4,8.46300000000,,,11.70000000,0.970000,0.040000,,
180,AU Mic b,AU Mic,0,1,4,8.45367765822,,4.02692583,,,,76.6379,754.62
181,AU Mic b,AU Mic,0,1,4,8.46344600000,,,6.10000000,,,,
182,AU Mic b,AU Mic,0,1,4,8.46300000000,0.0645000000,4.07000000,17.00000000,1.400000,0.000000,,593.00
183,AU Mic b,AU Mic,0,1,4,8.46300040000,0.0644000000,4.19000000,,,0.120000,,
184,AU Mic b,AU Mic,0,1,4,8.46314270000,,,10.20000000,,,,
185,AU Mic b,AU Mic,0,1,4,8.46321000000,,,17.10000000,1.300000,,,
186,AU Mic c,AU Mic,0,1,4,18.85898200000,0.1100000000,2.79000000,,,0.130000,,
187,AU Mic c,AU Mic,0,1,4,18.85899100000,0.1101000000,,9.60000000,1.220000,,,
188,AU Mic c,AU Mic,1,1,4,18.85969000000,0.1108000000,2.52202066,,,0.003380,7.3000,459.00
189,AU Mic c,AU Mic,0,1,4,18.85901800000,,,11.60000000,,,,
190,AU Mic c,AU Mic,0,1,4,18.85901900000,,,22.20000000,3.660000,0.041000,,
191,AU Mic c,AU Mic,0,1,4,18.85901900000,0.1101000000,3.24000000,13.60000000,2.300000,0.000000,,454.00
192,AU Mic c,AU Mic,0,1,4,18.85882000000,,,14.20000000,,,,
193,AU Mic d,AU Mic,1,1,4,12.73596000000,,,1.05300000,,0.003050,,
194,AU Mic e,AU Mic,1,1,4,33.11000000000,,,21.10000000,,,,
195,AU Mic e,AU Mic,0,1,4,33.39000000000,,,,,,,
196,BD+03 2562 b,BD+03 2562,1,1,1,481.90000000000,1.3000000000,,,,0.200000,,
197,BD+05 4868 A b,BD+05 4868 A,1,2,1,1.27186900000,0.0208000000,,6.20000000,,,,1820.00
198,BD+14 4559 b,BD+14 4559,1,1,1,268.94000000000,0.7800000000,,,,0.290000,,
199,BD+14 4559 b,BD+14 4559,0,1,1,268.94000000000,0.7770000000,,,,0.290000,,
200,BD+15 2375 b,BD+15 2375,1,1,1,153.22000000000,0.5760000000,,,,0.001000,,
201,BD+15 2940 b,BD+15 2940,1,1,1,137.48000000000,0.5390000000,,,,0.260000,,
202,BD+20 2457 b,BD+20 2457,1,1,2,379.63000000000,1.4500000000,,,,0.150000,,
203,BD+20 2457 b,BD+20 2457,0,1,2,379.63000000000,1.0500000000,,,,0.150000,,
204,BD+20 2457 c,BD+20 2457,1,1,2,621.99000000000,2.0100000000,,,,0.180000,,
205,BD+20 274 b,BD+20 274,1,1,1,578.20000000000,1.3000000000,,,,0.210000,,
206,BD+20 594 b,BD+20 594,1,1,1,41.68550000000,,2.57807000,22.24810000,,0.000000,,
207,BD+20 594 b,BD+20 594,0,1,1,41.68864400000,,2.35545351,,,,,
208,BD+20 594 b,BD+20 594,0,1,1,41.68550000000,0.2410000000,2.23000000,16.30000000,7.890000,0.000000,,546.00
209,BD+37 3172 b,BD+37 3172,1,1,1,1887.76000000000,4.6500000000,,,,0.590000,,
210,BD+42 2315 b,BD+42 2315,1,1,1,123.05000000000,0.5400000000,,,,0.730000,,
211,BD+45 564 b,BD+45 564,1,1,1,307.88000000000,0.8300000000,,,,0.120000,,
212,BD+48 738 b,BD+48 738,1,1,1,392.60000000000,1.0000000000,,,,0.200000,,
213,BD+48 740 b,BD+48 740,1,1,1,733.00000000000,1.7000000000,,,,0.760000,,
214,BD+49 828 b,BD+49 828,1,1,1,2590.00000000000,4.2000000000,,,,0.350000,,
215,BD+55 362 b,BD+55 362,1,1,1,265.59000000000,0.7800000000,,,,0.270000,,
216,BD+60 1417 b,BD+60 1417,1,1,1,,1662.0000000000,14.68376472,4767.42610500,,,,1303.00
217,BD+63 1405 b,BD+63 1405,1,1,1,1198.48000000000,2.0600000000,,,,0.880000,,
218,BD+63 1405 b,BD+63 1405,0,1,1,1230.00000000000,2.1150000000,,3305.41543280,,0.891000,,
219,BD-06 1339 b,BD-06 1339,1,1,2,3.87280000000,0.0428000000,,,,0.000000,,
220,BD-06 1339 b,BD-06 1339,0,1,2,3.87300000000,,,1523.03372634,,,,
221,BD-06 1339 c,BD-06 1339,1,1,2,125.94000000000,0.4350000000,,,,0.310000,,
222,BD-08 2823 b,BD-08 2823,0,1,2,5.60000000000,,,2948.49413174,,,,
223,BD-08 2823 b,BD-08 2823,0,1,2,5.60000000000,0.0560000000,,,,0.150000,,
224,BD-08 2823 b,BD-08 2823,1,1,2,5.60000000000,0.0600000000,,,,0.150000,,
225,BD-08 2823 c,BD-08 2823,1,1,2,237.60000000000,0.6800000000,,,,0.190000,,
226,BD-10 3166 b,BD-10 3166,0,1,1,3.48777000000,0.0452000000,,,,0.019000,,
227,BD-10 3166 b,BD-10 3166,1,1,1,3.48777000000,0.0400000000,,,,0.020000,,
228,BD-10 3166 b,BD-10 3166,0,1,1,3.48790500000,0.0450000000,,,,0.022000,,
229,BD-10 3166 b,BD-10 3166,0,1,1,3.48700000000,0.0460000000,,,,0.050000,,
230,BD-11 4672 b,BD-11 4672,1,1,2,1634.00000000000,2.3600000000,,,,0.050000,,
231,BD-11 4672 b,BD-11 4672,0,1,2,1667.00000000000,2.2800000000,,,,0.050000,,
232,BD-11 4672 c,BD-11 4672,1,1,2,74.20000000000,0.3000000000,,,,0.400000,,
233,BD-13 2130 b,BD-13 2130,1,1,1,714.29999000000,1.6600000000,,,,0.210000,,
234,BD-13 2130 b,BD-13 2130,0,1,1,714.30000000000,2.1000000000,,,,0.210000,,
235,BD-14 3065 b,BD-14 3065 A,1,3,1,4.28897310000,0.0656000000,21.59000000,3932.00000000,2.150000,0.066000,,2001.00
236,BD-14 3065 b,BD-14 3065 A,0,3,1,4.28896960000,,20.71120000,,,,646.7610,1404.00
237,BD-17 63 b,BD-17 63,1,1,1,655.57000000000,,,1639.99458012,,0.543900,,
238,BD-17 63 b,BD-17 63,0,1,1,649.00000000000,,,1366.66215010,,0.280000,,
239,BD-17 63 b,BD-17 63,0,1,1,655.59998000000,1.3400000000,,,,0.540000,,
240,BD-17 63 b,BD-17 63,0,1,1,655.60000000000,1.3400000000,,,,0.540000,,
241,BD-210397 b,BD-210397,1,1,2,1891.00000000000,2.6300000000,,,,0.100000,0.0200,
242,BD-210397 c,BD-210397,0,1,2,6360.00000000000,5.9000000000,,,,0.100000,0.0039,
243,BD-210397 c,BD-210397,0,1,2,6374.00000000000,5.9600000000,,1420.69297929,,0.296000,,
244,BD-210397 c,BD-210397,1,1,2,6240.00000000000,5.9000000000,,1525.57635360,,0.430000,,
245,BEBOP-3 b,BEBOP-3,1,2,1,547.00000000000,1.4440000000,,,,0.247000,,
246,BEBOP-4 AB b,BEBOP-4 A,1,2,1,1823.50000000000,3.6340000000,,8358.88710410,,0.428000,,
247,Barnard b,Barnard's star,0,1,4,3.15330000000,0.0229400000,,,,0.160000,6.7600,400.00
248,Barnard b,Barnard's star,1,1,4,3.15420000000,0.0229000000,,,,0.030000,,438.00
249,Barnard c,Barnard's star,1,1,4,4.12440000000,0.0274000000,,,,0.080000,,400.00
250,Barnard d,Barnard's star,1,1,4,2.34020000000,0.0188000000,,,,0.040000,,483.00
251,Barnard e,Barnard's star,1,1,4,6.73920000000,0.0381000000,,,,0.040000,,340.00
252,CD Cet b,CD Cet,1,1,1,2.29070000000,0.0185000000,,,,,8.6000,464.00
253,CD-35 2722 b,CD-35 2722,1,1,1,,67.0000000000,17.37392009,9375.93800650,,,,
254,CD-35 2722 b,CD-35 2722,0,1,1,,67.0000000000,,9852.68061700,,,,1800.00
255,CFBDSIR J145829+101343 b,CFBDSIR J145829+101343,1,1,1,10037.50000000000,2.6000000000,,3337.10000000,,,,370.00
256,CFHTWIR-Oph 98 b,CFHTWIR-Oph 98 A,1,1,1,8040000.00000000000,200.0000000000,20.84870410,2479.06157460,,,,1800.00
257,CHXR 73 b,CHXR 73,1,1,1,,210.0000000000,,3994.48600000,,,,
258,CI Tau c,CI Tau,1,1,1,25.20000000000,0.1700000000,,,,0.580000,,
259,COCONUTS-2 b,COCONUTS-2 A,1,1,1,,,12.44196858,2542.62725600,,,,
260,COCONUTS-2 b,COCONUTS-2 A,0,1,1,402000000.00000000000,7506.0000000000,12.44196858,2002.31896410,,,,434.00
261,CT Cha b,CT Cha,1,1,1,,440.0000000000,24.66000000,5403.00000000,,,,2600.00
262,CoRoT-1 b,CoRoT-1,1,1,1,1.50895570000,,16.70000000,327.35000000,0.380000,0.000000,,1898.00
263,CoRoT-1 b,CoRoT-1,0,1,1,1.50896820000,0.0275200000,19.22343500,390.93090000,0.302000,0.036000,,
264,CoRoT-1 b,CoRoT-1,0,1,1,1.50896860000,0.0253600000,17.38515900,327.36490000,0.344000,,,1915.00
265,CoRoT-1 b,CoRoT-1,0,1,1,1.50896877200,,,,,,,
266,CoRoT-1 b,CoRoT-1,0,1,1,1.50897655200,0.0259000000,15.91678000,340.07810000,0.440000,0.071000,,1834.00
267,CoRoT-1 b,CoRoT-1,0,1,1,1.50896350000,,20.59440000,,,,2852.6300,2036.00
268,CoRoT-1 b,CoRoT-1,0,1,1,1.50895570000,0.0261000000,16.58932000,359.14790000,,0.000000,,
269,CoRoT-10 b,CoRoT-10,0,1,1,13.24060000000,0.1060000000,10.54766900,883.56740000,4.160000,,,647.00
270,CoRoT-10 b,CoRoT-10,0,1,1,13.24060000000,0.1055000000,10.87273000,867.67590000,3.690000,0.524000,,
271,CoRoT-10 b,CoRoT-10,0,1,1,13.23412611048,,7.38532555,,,,16.1089,510.96
272,CoRoT-10 b,CoRoT-10,1,1,1,13.24060000000,0.1055000000,10.87000000,874.00000000,3.700000,0.530000,,600.00
273,CoRoT-11 b,CoRoT-11,0,1,1,2.99433000000,0.0440000000,15.98403400,743.72220000,1.000000,,,1735.00
274,CoRoT-11 b,CoRoT-11,0,1,1,2.99432500000,0.0440700000,16.02887000,832.71460000,1.110000,0.360000,,
275,CoRoT-11 b,CoRoT-11,0,1,1,2.99432500000,0.0435100000,15.58051000,791.39670000,0.930000,0.000000,,1715.00
276,CoRoT-11 b,CoRoT-11,1,1,1,2.99433000000,0.0436000000,16.03000000,740.51000000,0.990000,0.000000,,1657.00
277,CoRoT-11 b,CoRoT-11,0,1,1,2.99427803000,,,,,,,
278,CoRoT-11 b,CoRoT-11,0,1,1,2.99328197444,,21.74555811,,,,1890.6490,1681.79
279,CoRoT-11 b,CoRoT-11,0,1,1,,,,,,,,
280,CoRoT-12 b,CoRoT-12,0,1,1,2.82804100000,,,,,,,
